Book,Concordance,Spell,Number of Records,Position,sort-order
4: GoF,", master, forgive me! forgive us all! voldemort began to laugh, he raised his wand, crucio! the death eater on the ground writhed and shrieked; Harry was sure the sound must carry to",crucio,1,517967,517967
4: GoF,"? yelled cedric’s voice, what the hell d’you think you’re doing? and then Harry heard krum’s voice, crucio! the air was suddenly full of cedric’s yells, horrified, Harry be­gan sprinting up his path,",crucio,1,511533,511533
4: GoF,"been my downfall, … voldemort moved slowly forward and turned to face Harry, he raised his wand, crucio! it was pain beyond anything Harry had ever experienced; his very bones were on fire; his",crucio,1,521120,521120
4: GoF,"moody’s desk as possible, moody raised his wand again, pointed it at the spider, and mut­tered, crucio! at once, the spider’s legs bent in upon its body; it rolled over and began to",crucio,1,384647,384647
4: GoF,"the tip of a wand emerged from around the back of the chair, it was pointing at wormtail, crucio! said the cold voice, wormtail screamed, screamed as though every nerve in his body were on",crucio,1,496277,496277
4: GoF,"them; it looked as though it were made of thick gray smoke : the ghost of a spell, deletrius! mr. diggory shouted, and the smoky skull vanished in a wisp of smoke, so, said",deletrius,1,361597,361597
4: GoF,"each other’s eyes, then, at ex­actly the same time, both acted, furnunculus! Harry yelled, densaugeo! screamed malfoy, jets of light shot from both wands, hit each other in midair, and",densaugeo,1,410184,410184
4: GoF,"idea, pausing at a distance from them, he pulled out his wand, and took careful aim, diffindo! cedric’s bag split, parchment, quills, and books spilled out of it onto the floor,",diffindo,1,423059,423059
4: GoF,"a bit bigger for you to get the idea, he said, pointing his wand at the spider, engorgio! the spider swelled, it was now larger than a tarantula, aban­doning all pretense, ron pushed",engorgio,1,384599,384599
4: GoF,"of getting out of the maze and celebrating with ron and hermione, raised his wand, and cried, expectopatronum! a silver stag erupted from the end of Harry’s wand and galloped toward the dementor, which fell",expectopatronum,1,510420,510420
4: GoF,"him, and threw himself around the headstone, facing voldemort, voldemort was ready, as Harry shouted, expelliarmus! volde­mort cried, avadakedavra! a jet of green light issued from voldemort’s wand just as a jet",expelliarmus,1,522622,522622
4: GoF,"no more effect than Harry’s — Harry raised his wand as the spider opened its pincers once more and shouted expelliarmus! it worked — the disarming spell made the spider drop him, but that meant that Harry fell",expelliarmus,1,513260,513260
4: GoF,"as he followed fred inside, interesting effect, said george, looking down at crabbe, who used the furnunculus curse? me, said Harry, odd, said george lightly, i used jelly-legs, looks as",furnunculus,1,543601,543601
4: GoF,"second, they looked into each other’s eyes, then, at ex­actly the same time, both acted, furnunculus! Harry yelled, densaugeo! screamed malfoy, jets of light shot from both wands, hit each",furnunculus,1,410179,410179
4: GoF,"a stone at it; the spider jerked, scuttled around, and ran at Harry instead, stupefy! impedimenta! stupefy! but it was no use — the spider was either so large, or so magical",impedimenta,1,513141,513141
4: GoF,"as the spells hit it, gripping his wand more tightly, he dashed out from behind the angel — impedimenta! he bellowed, pointing his wand wildly over his shoulder at the death eaters running at him,",impedimenta,1,524558,524558
4: GoF,"of his head, the skrewt issued a blast of fire from its end and flew for­ward toward him, impedimenta! Harry yelled, the spell hit the skrewt’s armor again and ricocheted off; Harry staggered back a",impedimenta,1,511343,511343
4: GoF,"spell hit the skrewt’s armor again and ricocheted off; Harry staggered back a few paces and fell over, impedimenta! the skrewt was inches from him when it froze — he had man­aged to hit it on its",impedimenta,1,511369,511369
4: GoF,"… i asked you whether you want me to do that again, said volde­mort softly, answer me! imperio! and Harry felt, for the third time in his life, the sensation that his mind had",imperio,1,522122,522122
4: GoF,"his hand so that they could all see it, he then pointed his wand at it and muttered, imperio! the spider leapt from moody’s hand on a fine thread of silk and began to swing backward and",imperio,1,384111,384111
4: GoF,"that moody had cleared of desks, moody raised his wand, pointed it at Harry, and said, imperio! it was the most wonderful feeling, Harry felt a floating sensation as every thought and worry in",imperio,1,389723,389723
4: GoF,"his robes and took out his wand, Harry saw the dursleys draw back against the wall as one, incendio! said mr. weasley, pointing his wand at the hole in the wall behind him, flames rose",incendio,1,334430,334430
4: GoF,"invisibility cloak and go back to the library, he’d stay there all night if he had to, … lumos, Harry whispered fifteen minutes later as he opened the library door, wand tip alight, he crept",lumos,1,469197,469197
4: GoF,"maze, Harry felt almost as though he were underwater again, he pulled out his wand, muttered, lumos, and heard cedric do the same just behind him, after about fifty yards, they reached a",lumos,1,509915,509915
4: GoF,"one answered, they were here, Harry said to dumbledore, they were defi­nitely somewhere around here, … lumos, dumbledore said, lighting his wand and holding it up, its narrow beam traveled from black trunk",lumos,1,490939,490939
4: GoF,"stopping so abruptly that Harry walked into her, ron, where are you? oh this is stupid — lumos! she illuminated her wand and directed its narrow beam across the path, ron was lying sprawled on",lumos,1,357028,357028
4: GoF,"in the wood; and it uttered, not a panicked shout, but what sounded like a spell, morsmordre! and something vast, green, and glittering erupted from the patch of darkness Harry’s eyes had been",morsmordre,1,359237,359237
4: GoF,"at that moment, a wizard in plus-fours appeared out of thin air next to mr. roberts’s front door, obliviate! he said sharply, pointing his wand at mr. roberts, instantly, mr. roberts’s eyes slid out",obliviate,1,343517,343517
4: GoF,"mr. ollivander ran his fingers along the wand, apparently check­ing for scratches or bumps; then he muttered, orchideous! and a bunch of flowers burst from the wand tip, very well, very well, it’s",orchideous,1,413236,413236
4: GoF,"growing darker with every passing minute as the sky overhead deepened to navy, he reached a second fork, pointme, he whispered to his wand, holding it flat in his palm, the wand spun around once",pointme,1,510081,510081
4: GoF,"have a chance, … Harry broke into a run, he had a choice of paths up ahead, pointme! he whispered again to his wand, and it spun around and pointed him to the right-hand one",pointme,1,512884,512884
4: GoF,"ears flap­ping, as mr. diggory raised his own wand again and placed it tip to tip with Harry’s, priorincantato! roared mr. diggory, Harry heard hermione gasp, horrified, as a gigantic serpent-tongued skull erupted from",priorincantato,1,361537,361537
4: GoF,"still grinning in a be­mused sort of way ), bagman pointed his wand at his throat and muttered, quietus, they’ll be talking about this one for years, he said hoarsely, a really unexpected twist,",quietus,1,355643,355643
4: GoF,"wide and horrified, moody raised his wand, the spider’s legs relaxed, but it contin­ued to twitch, reducio, moody muttered, and the spider shrank back to its proper size, he put it back into",reducio,1,384791,384791
4: GoF,"some kind of enchantment, he wondered whether he might be able to blast it out of the way, reducto! he said, the spell shot straight through the mist, leaving it intact, he supposed he",reducto,1,510624,510624
4: GoF,"out of the weed, had seized handfuls of Harry’s robes, and were attempting to drag him down, relashio! Harry shouted, except that no sound came out, … a large bubble issued from his mouth",relashio,1,471440,471440
4: GoF,"a ghostly bird, then dumble­dore bent over krum again, pointed his wand at him, and mut­tered, rennervate, krum opened his eyes, he looked dazed, when he saw dumb­ledore, he tried to sit",rennervate,1,491115,491115
4: GoF,"open and poured three drops inside it, then he pointed his wand at the man’s chest and said, rennervate, crouch’s son opened his eyes, his face was slack, his gaze unfo­cused, dumbledore knelt before",rennervate,1,529167,529167
4: GoF,"take his silence for assent, he raised his own wand, pointed it at winky, and said, rennervate! winky stirred feebly, her great brown eyes opened and she blinked several times in a bemused sort",rennervate,1,360867,360867
4: GoF,"them that the glass shattered, ron! said hermione reproachfully, and she pulled out her wand, muttered reparo! and the glass shards flew back into a sin­gle pane and back into the door, well …",reparo,1,371549,371549
4: GoF,". hang on! he shouted, advancing in the wake of his silver patronus, you’re a boggart! riddikulus! there was a loud crack, and the shape-shifter exploded in a wisp of smoke, the silver",riddikulus,1,510478,510478
4: GoF,", said fudge comfortably, ludo whipped out his wand, directed it at his own throat, and said sonorus! and then spoke over the roar of sound that was now filling the packed stadium; his voice",sonorus,1,351195,351195
4: GoF,"directions, to station themselves around the maze, bagman now pointed his wand at his throat, muttered, sonorus, and his magically magnified voice echoed into the stands, ladies and gentlemen, the third and final",sonorus,1,509668,509668
4: GoF,"table; he pointed his wand at his throat as he had done at the world cup, said, sonorus! and his voice boomed out across the dark water toward the stands, well, all our champions",sonorus,1,470528,470528
4: GoF,"! moody raised his wand, he opened his mouth; Harry plunged his own hand into his robes — stupefy! there was a blinding flash of red light, and with a great splintering and crashing, the",stupefy,1,527651,527651
4: GoF,"at it; the spider jerked, scuttled around, and ran at Harry instead, stupefy! impedimenta! stupefy! but it was no use — the spider was either so large, or so magical, that",stupefy,1,513143,513143
4: GoF,"have thrown a stone at it; the spider jerked, scuttled around, and ran at Harry instead, stupefy! impedimenta! stupefy! but it was no use — the spider was either so large, or",stupefy,1,513139,513139
4: GoF,"his leg connected with the pincers and next moment he was in excruciating pain, he could hear cedric yelling stupefy! too, but his spell had no more effect than Harry’s — Harry raised his wand as the",stupefy,1,513232,513232
4: GoF,"its back, its thick armor glinted in the light from Harry’s wand, which he pointed at it, stupefy! the spell hit the skrewt’s armor and rebounded; Harry ducked just in time, but could smell",stupefy,1,511295,511295
4: GoF,"out of his hand as a gigantic spider stepped into the path and began to bear down upon cedric, stupefy! Harry yelled; the spell hit the spider’s gigantic, hairy black body, but for all the",stupefy,1,513091,513091
4: GoF,"spells, on the count of three! Harry saw each of the dragon keepers pull out his wand, stupefy! they shouted in unison, and the stunning spells shot into the darkness like fiery rockets, bursting",stupefy,1,418874,418874
4: GoF,"think, he aimed high at the spider’s underbelly, as he had done with the skrewt, and shouted stupefy! just as cedric yelled the same thing, the two spells combined did what one alone had not",stupefy,1,513316,513316
4: GoF,"think, he yelled, duck! he seized the other two and pulled them down onto the ground, stupefy! roared twenty voices — there was a blinding series of flashes and Harry felt the hair on his",stupefy,1,359615,359615
4: GoF,"up and pointed his wand at krum just as krum looked up, krum turned and began to run, stupefy! Harry yelled, the spell hit krum in the back; he stopped dead in his tracks,",stupefy,1,511660,511660
